key,breakout_lookback,atr_period,atr_mult,risk_per_trade,trend_filter,regime_filter,is_return,is_mdd,is_trades,is_win_rate,is_pf,is_avg_r,oos_return,oos_mdd,oos_trades,oos_win_rate,oos_pf,oos_avg_r,rank_score
lb55_atr14_m3.0_r0.0025_tfnone_rfadx20,55,14,3.0,0.0025,none,adx20,0.0013243120261923202,-0.01773266193755363,19,0.2631578947368421,1.0647463083532849,0.026326593545880118,0.0028088599859292795,-0.00620084128724141,6,0.6666666666666666,1.6452165722265735,0.17911100485854758,0.07271669661901353
lb55_atr14_m3.0_r0.005_tfnone_rfadx20,55,14,3.0,0.005,none,adx20,0.002337930758271378,-0.035188561040689126,19,0.2631578947368421,1.0566137573737104,0.026326593545880118,0.005595672144036445,-0.012339016864959418,6,0.6666666666666666,1.6398872227914412,0.17911100485854758,0.07047650611149178
lb55_atr14_m3.0_r0.0025_tfma100_rfadx20,55,14,3.0,0.0025,ma100,adx20,-0.0019458749427762045,-0.017732661937553407,18,0.2222222222222222,0.9173659471539833,-0.04012606820662669,0.0028088599859292795,-0.00620084128724141,6,0.6666666666666666,1.6452165722265735,0.17911100485854758,0.06388301078704071
lb55_atr14_m3.0_r0.005_tfma100_rfadx20,55,14,3.0,0.005,ma100,adx20,-0.00420853766466156,-0.03518856104068935,18,0.2222222222222222,0.9111160582898128,-0.04012606820662665,0.005595672144036445,-0.012339016864959418,6,0.6666666666666666,1.6398872227914412,0.17911100485854758,0.060188261577446674
lb55_atr10_m3.0_r0.0025_tfnone_rfadx20,55,10,3.0,0.0025,none,adx20,-0.004358595072353477,-0.020872710052175947,21,0.2857142857142857,0.8158883794547331,-0.08035449023197855,0.0019391037061444738,-0.006592642557018746,6,0.6666666666666666,1.429442080913487,0.12296884273556213,0.0438612403950093
lb55_atr20_m3.0_r0.0025_tfnone_rfadx20,55,20,3.0,0.0025,none,adx20,-0.011394402160795014,-0.02342534954912645,22,0.18181818181818182,0.6266799588964248,-0.1969369397406698,0.0025428706706089876,-0.006083062015173946,6,0.6666666666666666,1.6576580897274353,0.1618200809377744,0.039378206078831426
lb55_atr10_m3.0_r0.005_tfnone_rfadx20,55,10,3.0,0.005,none,adx20,-0.009013394015954801,-0.04135187494219794,21,0.2857142857142857,0.8106342679541558,-0.08035449023197853,0.003854737477638537,-0.013118473608903058,6,0.6666666666666666,1.4253253144342097,0.12296884273556208,0.038120935169515466
lb55_atr10_m3.0_r0.0025_tfma100_rfadx20,55,10,3.0,0.0025,ma100,adx20,-0.0076283293399111995,-0.020872710052176835,20,0.25,0.7125760205176218,-0.14618242911505303,0.0019391037061444738,-0.006592642557018746,6,0.6666666666666666,1.429442080913487,0.12296884273556213,0.035545135553499516
lb55_atr20_m3.0_r0.0025_tfma100_rfadx20,55,20,3.0,0.0025,ma100,adx20,-0.014115852699430609,-0.02342534954912623,21,0.14285714285714285,0.5740882550898103,-0.2558141719297393,0.0025428706706089876,-0.006083062015173946,6,0.6666666666666666,1.6576580897274353,0.1618200809377744,0.03244958262993241
lb55_atr20_m3.0_r0.005_tfnone_rfadx20,55,20,3.0,0.005,none,adx20,-0.022966277682617275,-0.046355024592777405,22,0.18181818181818182,0.6236124172347737,-0.1969369397406698,0.005064427599127841,-0.012100364890950344,6,0.6666666666666666,1.6520321133957183,0.16182008093777434,0.030641149424967967
lb55_atr10_m3.0_r0.005_tfma100_rfadx20,55,10,3.0,0.005,ma100,adx20,-0.015521135047489198,-0.04135187494219794,20,0.25,0.7081130791653899,-0.14618242911505303,0.003854737477638537,-0.013118473608903058,6,0.6666666666666666,1.4253253144342097,0.12296884273556208,0.028356034570773934
lb55_atr20_m3.0_r0.005_tfma100_rfadx20,55,20,3.0,0.005,ma100,adx20,-0.02834716609165222,-0.04635502459277685,21,0.14285714285714285,0.5711041367252664,-0.2558141719297393,0.005064427599127841,-0.012100364890950344,6,0.6666666666666666,1.6520321133957183,0.16182008093777434,0.02251665487900891
lb55_atr10_m2.5_r0.0025_tfnone_rfadx20,55,10,2.5,0.0025,none,adx20,-0.009575423622290802,-0.025195597086457022,24,0.16666666666666666,0.7120532410562497,-0.15089959774019127,9.024172708493872e-05,-0.006785263770085592,7,0.42857142857142855,1.0106777764871013,0.004919302687722948,0.005229587704616959
lb55_atr10_m2.5_r0.0025_tfma100_rfadx20,55,10,2.5,0.0025,ma100,adx20,-0.01372497188888655,-0.025195597086457133,23,0.08695652173913043,0.62259233871124,-0.2254725344844194,9.024172708493872e-05,-0.006785263770085592,7,0.42857142857142855,1.0106777764871013,0.004919302687722948,-0.004102180455093704
lb55_atr14_m3.0_r0.0025_tfnone_rfnone,55,14,3.0,0.0025,none,none,0.0007412133124102827,-0.015276439610522163,20,0.25,1.0345223950482052,0.01493716087782208,-0.0029841073574684573,-0.010672187401529531,8,0.5,0.7058167290834908,-0.14201376201662452,-0.004110570845627383
lb55_atr10_m2.5_r0.005_tfnone_rfadx20,55,10,2.5,0.005,none,adx20,-0.019526324037945963,-0.049804247127942625,24,0.16666666666666666,0.7068513861315973,-0.1508995977401912,0.00012962258021986806,-0.013506881085565858,7,0.42857142857142855,1.0076457901428166,0.004919302687722964,-0.004533232731458897
lb55_atr14_m3.0_r0.005_tfnone_rfnone,55,14,3.0,0.005,none,none,0.0011670853371907874,-0.030351843763172015,20,0.25,1.0270115475488952,0.014937160877822094,-0.00600566251024881,-0.02122205977675351,8,0.5,0.7046719232342498,-0.14201376201662458,-0.011224980215749697
lb55_atr14_m3.0_r0.0025_tfma100_rfnone,55,14,3.0,0.0025,ma100,none,-0.0025270693366566954,-0.01527643961052172,19,0.21052631578947367,0.8971122667127955,-0.048617436186029477,-0.0029841073574684573,-0.010672187401529531,8,0.5,0.7058167290834908,-0.14201376201662452,-0.01193147509850288
lb55_atr10_m2.5_r0.005_tfma100_rfadx20,55,10,2.5,0.005,ma100,adx20,-0.02773453026438355,-0.049804247127941736,23,0.08695652173913043,0.6177424208135327,-0.2254725344844193,0.00012962258021986806,-0.013506881085565858,7,0.42857142857142855,1.0076457901428166,0.004919302687722964,-0.01568770163431532
lb55_atr14_m3.0_r0.005_tfma100_rfnone,55,14,3.0,0.005,ma100,none,-0.005371736061377641,-0.030351843763171904,19,0.21052631578947367,0.8909224592328148,-0.04861743618602948,-0.00600566251024881,-0.02122205977675351,8,0.5,0.7046719232342498,-0.14201376201662458,-0.01984964823579765
