key,breakout_lookback,atr_period,atr_mult,risk_per_trade,trend_filter,regime_filter,is_return,is_mdd,is_trades,is_win_rate,is_pf,is_avg_r,oos_return,oos_mdd,oos_trades,oos_win_rate,oos_pf,oos_avg_r,rank_score
lb55_atr14_m3.0_r0.0025_tfnone_rfadx20,55,14,3.0,0.0025,none,adx20,0.0025241786786331932,-0.016154253404830565,18,0.2777777777777778,1.1311085889493302,0.053793237823440046,0.003988574613635887,-0.00615084832515056,6,0.6666666666666666,1.9258522532129643,0.2564398229338687,0.09527791905959467
lb55_atr14_m3.0_r0.0025_tfma100_rfadx20,55,14,3.0,0.0025,ma100,adx20,0.002418756878449946,-0.016154253404830454,17,0.23529411764705882,1.1256460783473303,0.05461574840408121,0.003988574613635887,-0.00615084832515056,6,0.6666666666666666,1.9258522532129643,0.2564398229338687,0.09524509256399732
lb55_atr14_m3.0_r0.005_tfnone_rfadx20,55,14,3.0,0.005,none,adx20,0.004742997912571489,-0.03208285154881052,18,0.2777777777777778,1.121973666412411,0.053793237823440095,0.0079597826066935,-0.01223949463041285,6,0.6666666666666666,1.9187320823170708,0.2564398229338687,0.09441274031241566
lb55_atr14_m3.0_r0.005_tfma100_rfadx20,55,14,3.0,0.005,ma100,adx20,0.004531709884548096,-0.0320828515488103,17,0.23529411764705882,1.116564574212833,0.054615748404081246,0.0079597826066935,-0.01223949463041285,6,0.6666666666666666,1.9187320823170708,0.2564398229338687,0.09433283490751568
lb55_atr20_m3.0_r0.0025_tfnone_rfadx20,55,20,3.0,0.0025,none,adx20,-0.009878649143513996,-0.021463217885344665,21,0.19047619047619047,0.6594129026444638,-0.1779956318709173,0.0044308421994603275,-0.00609415584249362,6,0.6666666666666666,2.140590024335426,0.28368650110081317,0.07259201966460985
lb55_atr20_m3.0_r0.0025_tfma100_rfadx20,55,20,3.0,0.0025,ma100,adx20,-0.009926236744303485,-0.021463217885345,20,0.15,0.6577557714679935,-0.18780331781694407,0.0044308421994603275,-0.00609415584249362,6,0.6666666666666666,2.140590024335426,0.28368650110081317,0.07169503284662425
lb55_atr20_m3.0_r0.005_tfnone_rfadx20,55,20,3.0,0.005,none,adx20,-0.01996571713682993,-0.042515363152365815,21,0.19047619047619047,0.6558343475393806,-0.1779956318709173,0.008847613868560922,-0.012122442503636477,6,0.6666666666666666,2.13176920296202,0.2836865011008131,0.0657578277709581
lb55_atr20_m3.0_r0.005_tfma100_rfadx20,55,20,3.0,0.005,ma100,adx20,-0.020059918193641724,-0.04251536315236548,20,0.15,0.6541772851308603,-0.18780331781694407,0.008847613868560922,-0.012122442503636477,6,0.6666666666666666,2.13176920296202,0.2836865011008131,0.06483986561982603
lb55_atr10_m3.0_r0.0025_tfnone_rfadx20,55,10,3.0,0.0025,none,adx20,-0.00354799978250242,-0.019797657669161417,20,0.3,0.844813679269008,-0.06838679027543397,0.002798057035306556,-0.006583684766834241,6,0.6666666666666666,1.6343170159815172,0.18026685020764324,0.05950814580783874
lb55_atr10_m3.0_r0.0025_tfma100_rfadx20,55,10,3.0,0.0025,ma100,adx20,-0.003887415121188731,-0.019797657669161306,19,0.2631578947368421,0.8299100207918599,-0.07880056054730673,0.002798057035306556,-0.006583684766834241,6,0.6666666666666666,1.6343170159815172,0.18026685020764324,0.058287715592631
