key,breakout_lookback,atr_period,atr_mult,risk_per_trade,trend_filter,regime_filter,is_return,is_mdd,is_trades,is_win_rate,is_pf,is_avg_r,oos_return,oos_mdd,oos_trades,oos_win_rate,oos_pf,oos_avg_r,rank_score
lb55_atr14_m3.0_r0.0025_tfnone_rfadx20,55,14,3.0,0.0025,none,adx20,0.0010012963692775934,-0.017580109017397705,19,0.21052631578947367,1.0484923315590369,0.02034114810286472,0.0028689971899888977,-0.006150848325150449,6,0.6666666666666666,1.6667125877917335,0.18275467836848155,0.07295564663088162
lb55_atr14_m3.0_r0.005_tfnone_rfadx20,55,14,3.0,0.005,none,adx20,0.0016918462812189894,-0.03488842054074026,19,0.21052631578947367,1.0406311704294169,0.02034114810286466,0.005716420085322582,-0.012239494630413184,6,0.6666666666666666,1.661270997466151,0.18275467836848155,0.07063761182784263
lb55_atr14_m3.0_r0.0025_tfma100_rfadx20,55,14,3.0,0.0025,ma100,adx20,-0.001285156303876489,-0.01758010901739726,18,0.2222222222222222,0.9438442067341106,-0.025639684431885516,0.0028689971899888977,-0.006150848325150449,6,0.6666666666666666,1.6667125877917335,0.18275467836848155,0.06680461477050997
lb55_atr14_m3.0_r0.005_tfma100_rfadx20,55,14,3.0,0.005,ma100,adx20,-0.002888405023015461,-0.03488842054074037,18,0.2222222222222222,0.9372375693915709,-0.025639684431885516,0.005716420085322582,-0.012239494630413184,6,0.6666666666666666,1.661270997466151,0.18275467836848155,0.06346754308324909
lb55_atr10_m2.5_r0.0025_tfnone_rfadx20,55,10,2.5,0.0025,none,adx20,-0.010741819728571356,-0.025128303804137886,24,0.125,0.6801963880330382,-0.16922769363202425,0.0029688695032472623,-0.006676654394211168,6,0.5,1.545816955258031,0.18979517814064992,0.04486495263078668
lb55_atr20_m3.0_r0.0025_tfnone_rfadx20,55,20,3.0,0.0025,none,adx20,-0.011660324288501056,-0.023360649880783013,22,0.13636363636363635,0.6204277756897879,-0.2011993406159468,0.0028138423552905856,-0.006151237035839308,6,0.6666666666666666,1.7171065554649634,0.17922667121977742,0.042948115998584564
lb55_atr10_m3.0_r0.0025_tfnone_rfadx20,55,10,3.0,0.0025,none,adx20,-0.005020806693320723,-0.021056265081691228,21,0.23809523809523808,0.7905911095122355,-0.09215847869818042,0.0018469308048945088,-0.006583684766834241,6,0.6666666666666666,1.4190950541603373,0.11737190967967948,0.04107944242274615
lb55_atr20_m3.0_r0.0025_tfma100_rfadx20,55,20,3.0,0.0025,ma100,adx20,-0.013339258492649941,-0.02336064988078279,21,0.14285714285714285,0.5878645871536702,-0.24121174931394834,0.0028138423552905856,-0.006151237035839308,6,0.6666666666666666,1.7171065554649634,0.17922667121977742,0.038349596366013226
lb55_atr10_m2.5_r0.0025_tfma100_rfadx20,55,10,2.5,0.0025,ma100,adx20,-0.013738868733455645,-0.025128303804137775,23,0.08695652173913043,0.6223343711483695,-0.2255009045105463,0.0029688695032472623,-0.006676654394211168,6,0.5,1.545816955258031,0.18979517814064992,0.03798482344942907
lb55_atr10_m2.5_r0.005_tfnone_rfadx20,55,10,2.5,0.005,none,adx20,-0.021833887101532556,-0.049672919306101404,24,0.125,0.6750749114141995,-0.16922769363202436,0.005904534059202993,-0.01328905342302178,6,0.5,1.5410626180826843,0.18979517814064994,0.036186182821547064
lb55_atr10_m3.0_r0.0025_tfma100_rfadx20,55,10,3.0,0.0025,ma100,adx20,-0.0073707330849118735,-0.02105626508169134,20,0.25,0.7195440386872527,-0.140931124585094,0.0018469308048945088,-0.006583684766834241,6,0.6666666666666666,1.4190950541603373,0.11737190967967948,0.03500837478776287
lb55_atr10_m3.0_r0.005_tfnone_rfadx20,55,10,3.0,0.005,none,adx20,-0.010331298165547897,-0.041711781145919336,21,0.23809523809523808,0.7854716805011758,-0.09215847869818043,0.0036707615136510885,-0.013111111607257642,6,0.6666666666666666,1.4150087842924968,0.11737190967967955,0.03497048865551902
lb55_atr20_m3.0_r0.005_tfnone_rfadx20,55,20,3.0,0.005,none,adx20,-0.023491134782130607,-0.04622849086148895,22,0.13636363636363635,0.617200708717776,-0.20119934061594674,0.005607502043195822,-0.012236038690241036,6,0.6666666666666666,1.711303629832775,0.17922667121977742,0.03423017668432206
lb55_atr20_m3.0_r0.005_tfma100_rfadx20,55,20,3.0,0.005,ma100,adx20,-0.026814118145672805,-0.046228490861488614,21,0.14285714285714285,0.5846688092691802,-0.24121174931394843,0.005607502043195822,-0.012236038690241036,6,0.6666666666666666,1.711303629832775,0.17922667121977742,0.028892163465442718
lb55_atr10_m2.5_r0.005_tfma100_rfadx20,55,10,2.5,0.005,ma100,adx20,-0.027761999206370125,-0.04967291930610129,23,0.08695652173913043,0.6174680872365589,-0.22550090451054625,0.005904534059202993,-0.01328905342302178,6,0.5,1.5410626180826843,0.18979517814064994,0.027989754768634287
lb55_atr10_m3.0_r0.005_tfma100_rfadx20,55,10,3.0,0.005,ma100,adx20,-0.01500986238223001,-0.041711781145919336,20,0.25,0.7149553997134076,-0.140931124585094,0.0036707615136510885,-0.013111111607257642,6,0.6666666666666666,1.4150087842924968,0.11737190967967955,0.027857107294635572
lb55_atr14_m3.0_r0.0025_tfnone_rfnone,55,14,3.0,0.0025,none,none,0.00041838575640573694,-0.015123505222027878,20,0.2,1.0193119675594309,0.00925098770695756,-0.0029243175504781727,-0.010667061085202989,8,0.5,0.7102878877930237,-0.13928100688417405,-0.004249681059975389
lb55_atr14_m3.0_r0.0025_tfma100_rfnone,55,14,3.0,0.0025,ma100,none,-0.0018667354524105617,-0.015123505222027989,19,0.21052631578947367,0.9218915111361023,-0.03489349366259048,-0.0029243175504781727,-0.010667061085202989,8,0.5,0.7102878877930237,-0.13928100688417405,-0.009706518274459883
lb55_atr14_m3.0_r0.005_tfnone_rfnone,55,14,3.0,0.005,none,none,0.0005217555607524016,-0.03005019862233327,20,0.2,1.0119812446658727,0.009250987706957611,-0.005886307611230768,-0.021211926024202743,8,0.5,0.7091272826556712,-0.13928100688417405,-0.01137633750519659
lb55_atr14_m3.0_r0.005_tfma100_rfnone,55,14,3.0,0.005,ma100,none,-0.0040531454857472005,-0.03005019862233338,19,0.21052631578947367,0.9154204158222287,-0.034893493662590515,-0.005886307611230768,-0.021211926024202743,8,0.5,0.7091272826556712,-0.13928100688417405,-0.017396593589515227
lb55_atr14_m2.5_r0.0025_tfnone_rfadx20,55,14,2.5,0.0025,none,adx20,-0.002884292746740069,-0.020542433448954234,22,0.18181818181818182,0.8982925943182531,-0.049429212319852374,-0.004215850036334068,-0.008039313592174357,9,0.4444444444444444,0.5203377239579348,-0.18160350266845923,-0.02310609033484482
lb10_atr20_m3.0_r0.0025_tfma100_rfadx20,10,20,3.0,0.0025,ma100,adx20,-0.036304930294736804,-0.04497841059252905,42,0.21428571428571427,0.4476965072327601,-0.3347150962799431,0.00032224512407230677,-0.010951203299305101,10,0.4,1.0277357027113667,0.009041677988998891,-0.02838091287763226
lb55_atr10_m2.5_r0.0025_tfnone_rfnone,55,10,2.5,0.0025,none,none,-0.011405576789255245,-0.022699799992942804,25,0.12,0.6717090542622148,-0.1714567866240948,-0.002989871466531624,-0.009981554837967366,8,0.375,0.7375749332103653,-0.1394284595312414,-0.028774052354720404
lb30_atr14_m3.0_r0.0025_tfma100_rfadx20,30,14,3.0,0.0025,ma100,adx20,-0.01769217661710676,-0.0314607477199047,26,0.23076923076923078,0.5574035486445097,-0.25823639949154464,-0.0016426202392364475,-0.009395316733144532,8,0.5,0.8248980258283922,-0.08047120240168573,-0.02944621422204541
lb55_atr14_m2.5_r0.0025_tfma100_rfadx20,55,14,2.5,0.0025,ma100,adx20,-0.005872610319899718,-0.02054243344895401,21,0.14285714285714285,0.8103641699557882,-0.10440298255567787,-0.004215850036334068,-0.008039313592174357,9,0.4444444444444444,0.5203377239579348,-0.18160350266845923,-0.029917975136288442
lb55_atr10_m3.0_r0.0025_tfnone_rfnone,55,10,3.0,0.0025,none,none,-0.006095872084814324,-0.019127486134980387,22,0.22727272727272727,0.760493805540284,-0.10569696425394993,-0.003956193910657824,-0.01055761428687596,8,0.5,0.6124348145624593,-0.1891379926886418,-0.030397621204497228
lb55_atr14_m2.5_r0.005_tfnone_rfadx20,55,14,2.5,0.005,none,adx20,-0.0062235353169201035,-0.04071818318403686,22,0.18181818181818182,0.8907890338853907,-0.04942921231985243,-0.008440305269933113,-0.01603284958287754,9,0.4444444444444444,0.5199922427285454,-0.1816035026684592,-0.03209769099160166
lb55_atr20_m3.0_r0.0025_tfnone_rfnone,55,20,3.0,0.0025,none,none,-0.014790475064158648,-0.023409677764359538,24,0.125,0.5675991857251679,-0.2338503232668947,-0.0023896524577503575,-0.010699525711537539,8,0.5,0.7381575836241555,-0.11516880619125765,-0.03285222416379154
lb30_atr20_m3.0_r0.0025_tfma100_rfadx20,30,20,3.0,0.0025,ma100,adx20,-0.02270052334328665,-0.030871395352411568,27,0.18518518518518517,0.483112756337527,-0.3181980623829232,-0.00126112517463417,-0.009580398810754231,8,0.5,0.8579401538275864,-0.06363591428432666,-0.0341024029791884
lb10_atr14_m3.0_r0.0025_tfma100_rfadx20,10,14,3.0,0.0025,ma100,adx20,-0.0305340291591506,-0.04227780458802366,40,0.225,0.48407494217685415,-0.2962677070004079,-0.0014020993033251328,-0.011312333179308465,10,0.4,0.8963064914167896,-0.05229439734564386,-0.03523206746310856
lb55_atr10_m2.5_r0.0025_tfma100_rfnone,55,10,2.5,0.0025,ma100,none,-0.014400614880833773,-0.022699799992942915,24,0.08333333333333333,0.6162740131414456,-0.22547815925734796,-0.002989871466531624,-0.009981554837967366,8,0.375,0.7375749332103653,-0.1394284595312414,-0.03543075753310849
lb55_atr10_m3.0_r0.0025_tfma100_rfnone,55,10,3.0,0.0025,ma100,none,-0.008443259403675407,-0.019127486134980387,21,0.23809523809523808,0.6957768521904646,-0.15279179298223766,-0.003956193910657824,-0.01055761428687596,8,0.5,0.6124348145624593,-0.1891379926886418,-0.03625427102188299
lb55_atr20_m3.0_r0.0025_tfma100_rfnone,55,20,3.0,0.0025,ma100,none,-0.016464091949444315,-0.023409677764360204,23,0.13043478260869565,0.5407007408134075,-0.2718030000194592,-0.0023896524577503575,-0.010699525711537539,8,0.5,0.7381575836241555,-0.11516880619125765,-0.03720864464959306
lb10_atr10_m3.0_r0.0025_tfma100_rfadx20,10,10,3.0,0.0025,ma100,adx20,-0.03467713484634383,-0.04502476508609898,42,0.21428571428571427,0.4679509662705191,-0.32174148647412143,-0.0013517116798840156,-0.012197299363517433,10,0.4,0.9075575538016047,-0.050333940652531516,-0.03954370502890957
lb55_atr14_m2.5_r0.005_tfma100_rfadx20,55,14,2.5,0.005,ma100,adx20,-0.012181732786826438,-0.04071818318403697,21,0.14285714285714285,0.8036365842460566,-0.10440298255567788,-0.008440305269933113,-0.01603284958287754,9,0.4444444444444444,0.5199922427285454,-0.1816035026684592,-0.04006083147930465
lb55_atr10_m3.0_r0.005_tfnone_rfnone,55,10,3.0,0.005,none,none,-0.012473401759376612,-0.03792740879294321,22,0.22727272727272727,0.7553578298843072,-0.10569696425394999,-0.00793975825634452,-0.02100002956661373,8,0.5,0.6116807559860666,-0.18913799268864173,-0.040874118979651965
lb55_atr10_m2.5_r0.005_tfnone_rfnone,55,10,2.5,0.005,none,none,-0.023151310130171243,-0.04492785561730983,25,0.12,0.6661446057170146,-0.17145678662409478,-0.006030068724158455,-0.019854928522125115,8,0.375,0.7358489716488799,-0.13942845953124142,-0.04150282875529333
lb20_atr10_m2.5_r0.0025_tfma100_rfadx20,20,10,2.5,0.0025,ma100,adx20,-0.04376659981748987,-0.04982945274414474,39,0.15384615384615385,0.3793021379003,-0.4343071119022628,0.00028254351796874744,-0.011777464063405074,9,0.3333333333333333,1.0226915622411987,0.00972187071440365,-0.04207474541235408
lb10_atr10_m2.5_r0.0025_tfma100_rfadx20,10,10,2.5,0.0025,ma100,adx20,-0.054283977769889136,-0.05971252230250168,50,0.16,0.34728551261706253,-0.4205315834356227,0.000771634141072175,-0.011648854850321744,11,0.45454545454545453,1.0534767229375075,0.030962270624589113,-0.042967697196655
lb30_atr14_m3.0_r0.0025_tfnone_rfadx20,30,14,3.0,0.0025,none,adx20,-0.013007884908402323,-0.03234943158895598,29,0.3103448275862069,0.6772816837140702,-0.170251126791226,-0.004852597941147341,-0.012580367506703327,10,0.4,0.6143644465827885,-0.19259594018284423,-0.04342454253719113
lb30_atr14_m3.0_r0.005_tfma100_rfadx20,30,14,3.0,0.005,ma100,adx20,-0.035433297995348445,-0.06200949527920774,26,0.23076923076923078,0.5557599905520375,-0.25823639949154464,-0.0033265560315992593,-0.01869163650634731,8,0.5,0.8232284741478856,-0.08047120240168573,-0.0450995649451297
lb30_atr10_m3.0_r0.0025_tfma100_rfadx20,30,10,3.0,0.0025,ma100,adx20,-0.019494881492647664,-0.03465774339579697,27,0.25925925925925924,0.5448699266791409,-0.27849123065446024,-0.002918212724324687,-0.00952651246680336,8,0.5,0.6956279750494484,-0.1423433601228107,-0.04591958994547726
lb20_atr10_m3.0_r0.0025_tfma100_rfadx20,20,10,3.0,0.0025,ma100,adx20,-0.033064096713490976,-0.04503347427320625,35,0.2,0.4434478936620639,-0.36895876968485275,-0.0014959931126333759,-0.012321403104624151,9,0.4444444444444444,0.8707798633510977,-0.06753735717757564,-0.04683219360845303
lb55_atr20_m3.0_r0.005_tfnone_rfnone,55,20,3.0,0.005,none,none,-0.029678407668629614,-0.04632642784669749,24,0.125,0.5644616990787045,-0.2338503232668947,-0.004815205203217876,-0.02126924755791093,8,0.5,0.736899754739255,-0.11516880619125766,-0.046899791810438435
lb55_atr10_m3.0_r0.005_tfma100_rfnone,55,10,3.0,0.005,ma100,none,-0.017141839386015545,-0.03792740879294332,21,0.23809523809523808,0.6909859300635155,-0.1527917929822377,-0.00793975825634452,-0.02100002956661373,8,0.5,0.6116807559860666,-0.18913799268864173,-0.04777161837348298
lb20_atr14_m3.0_r0.0025_tfma100_rfadx20,20,14,3.0,0.0025,ma100,adx20,-0.03229353571887872,-0.042939538594002236,33,0.21212121212121213,0.41221246807067335,-0.37889019218130204,-0.0016712931128380903,-0.011406158076316508,9,0.4444444444444444,0.8531270864870809,-0.07296188126838268,-0.04847342720929494
lb55_atr10_m2.5_r0.005_tfma100_rfnone,55,10,2.5,0.005,ma100,none,-0.029071438078433487,-0.04492785561731005,24,0.08333333333333333,0.6108759875284513,-0.22547815925734793,-0.006030068724158455,-0.019854928522125115,8,0.375,0.7358489716488799,-0.13942845953124142,-0.04947407692840094
lb30_atr10_m2.5_r0.0025_tfma100_rfadx20,30,10,2.5,0.0025,ma100,adx20,-0.029293461677001198,-0.038582597746920966,31,0.12903225806451613,0.4490673871648843,-0.35990436489725675,-0.0021434827963371372,-0.009141101595530055,8,0.375,0.798547922232549,-0.10208889891159739,-0.04993340934492127
lb30_atr20_m3.0_r0.005_tfma100_rfadx20,30,20,3.0,0.005,ma100,adx20,-0.045238339395853866,-0.060878067467768804,27,0.18518518518518517,0.4814385171547354,-0.3181980623829231,-0.0025625563866569223,-0.019053843260389836,8,0.5,0.8561453768393689,-0.0636359142843267,-0.05167681468520098
lb55_atr20_m3.0_r0.005_tfma100_rfnone,55,20,3.0,0.005,ma100,none,-0.03298033622601515,-0.04632642784669749,23,0.13043478260869565,0.5375266291338747,-0.2718030000194592,-0.004815205203217876,-0.02126924755791093,8,0.5,0.736899754739255,-0.11516880619125766,-0.05198933711153202
lb20_atr20_m3.0_r0.0025_tfma100_rfadx20,20,20,3.0,0.0025,ma100,adx20,-0.03802623207900491,-0.04314543391575287,35,0.2,0.384630573350755,-0.42113740795522775,-0.0013250904563408827,-0.010951464668517374,9,0.4444444444444444,0.8736458015994332,-0.05916043794737694,-0.052116725959718925
lb10_atr20_m3.0_r0.005_tfma100_rfadx20,10,20,3.0,0.005,ma100,adx20,-0.07168190128164287,-0.08806155463078114,42,0.21428571428571427,0.4474912324419281,-0.3347150962799431,0.0005677306188540676,-0.021762253337626936,10,0.4,1.0242954894377876,0.009041677988998964,-0.05307728551906749
lb10_atr14_m3.0_r0.0025_tfnone_rfadx20,10,14,3.0,0.0025,none,adx20,-0.039609688347972405,-0.05525180295592502,58,0.27586206896551724,0.5104411955390064,-0.27151108780614924,-0.004973178968393666,-0.016735123365748228,18,0.3333333333333333,0.7652280119923288,-0.10900695588430503,-0.05383526440535579
lb30_atr10_m3.0_r0.0025_tfnone_rfadx20,30,10,3.0,0.0025,none,adx20,-0.012817020567593373,-0.03408674513780463,30,0.3,0.698783776010174,-0.16562180122080328,-0.006297310780471577,-0.01288321507545609,10,0.4,0.5141344209533986,-0.24788901492152862,-0.0547639820984582
lb30_atr20_m3.0_r0.0025_tfnone_rfadx20,30,20,3.0,0.0025,none,adx20,-0.01814490177000483,-0.0314293958003149,30,0.26666666666666666,0.5942776237193181,-0.22805236888233224,-0.0054011096080787135,-0.01368589809075249,10,0.4,0.5848573523189212,-0.21409108771654478,-0.056194015608455994
lb10_atr14_m3.0_r0.005_tfma100_rfadx20,10,14,3.0,0.005,ma100,adx20,-0.060582187430265555,-0.08289406849155878,40,0.225,0.4837858886114265,-0.2962677070004079,-0.0028869737258465644,-0.02247820310085391,10,0.4,0.8936962056562344,-0.052294397345643916,-0.05821375837836163
lb10_atr10_m3.0_r0.0025_tfnone_rfadx20,10,10,3.0,0.0025,none,adx20,-0.04275018643929884,-0.06161667196189158,61,0.26229508196721313,0.5265520402262622,-0.282320524422328,-0.005757784765906493,-0.016793105009584308,19,0.3157894736842105,0.7528404826317517,-0.12127866126389289,-0.05959854940473117
lb30_atr14_m3.0_r0.005_tfnone_rfadx20,30,14,3.0,0.005,none,adx20,-0.02644205232694452,-0.06374857302532833,29,0.3103448275862069,0.6729220995530448,-0.1702511267912261,-0.009730734050458323,-0.024997085386560314,10,0.4,0.6137431896429794,-0.1925959401828442,-0.05983500932952816
lb30_atr10_m2.5_r0.0025_tfnone_rfadx20,30,10,2.5,0.0025,none,adx20,-0.022577658695160596,-0.03858321825121658,34,0.23529411764705882,0.5813112901082053,-0.252449503338803,-0.005403096870658763,-0.012377857136253612,10,0.3,0.6110412271743211,-0.21076860623553148,-0.060071700681664564
lb30_atr10_m3.0_r0.005_tfma100_rfadx20,30,10,3.0,0.005,ma100,adx20,-0.0389862458876058,-0.06819528112945994,27,0.25925925925925924,0.5437786131518593,-0.27849123065446024,-0.005868537893278125,-0.018956076398367605,8,0.5,0.6945512182630161,-0.14234336012281068,-0.0634927802204242
lb10_atr10_m3.0_r0.005_tfma100_rfadx20,10,10,3.0,0.005,ma100,adx20,-0.0685678644732175,-0.08816289487148954,42,0.21428571428571427,0.4681944105070318,-0.32174148647412143,-0.0022407315021567564,-0.024208846436582943,10,0.4,0.9222240314975511,-0.05033394065253155,-0.06415728219265011
lb20_atr10_m2.5_r0.0025_tfnone_rfadx20,20,10,2.5,0.0025,none,adx20,-0.04407282158791381,-0.05790657078365524,46,0.21739130434782608,0.44630167176756125,-0.3744836673080526,-0.003913627962816135,-0.015923043978637974,14,0.2857142857142857,0.7931273855168213,-0.11046451904161703,-0.06479783010084765
lb20_atr10_m3.0_r0.0025_tfnone_rfadx20,20,10,3.0,0.0025,none,adx20,-0.030985440207298653,-0.05137096729994317,42,0.21428571428571427,0.5331614301882946,-0.2930298130805788,-0.006464830025436408,-0.017236369731085333,14,0.2857142857142857,0.646086923751243,-0.18269575500544358,-0.06630377496215754
lb55_atr14_m2.5_r0.0025_tfnone_rfnone,55,14,2.5,0.0025,none,none,-0.005992384575477794,-0.020470056061365316,24,0.16666666666666666,0.8127138162594263,-0.09356124431578944,-0.010116513786827763,-0.013917320853502058,11,0.36363636363636365,0.3110958624256523,-0.3529193719630075,-0.06650593518808805
lb10_atr10_m2.5_r0.0025_tfnone_rfadx20,10,10,2.5,0.0025,none,adx20,-0.07453871500279341,-0.08336218563627906,73,0.1917808219178082,0.3598850814464067,-0.405737816377286,-0.0014988578993666568,-0.014239034139487905,20,0.4,0.9353923237451253,-0.03152163010344487,-0.06834502861785972
lb20_atr10_m2.5_r0.005_tfma100_rfadx20,20,10,2.5,0.005,ma100,adx20,-0.0861240809367888,-0.09730151218790684,39,0.15384615384615385,0.37891366858595454,-0.4343071119022628,0.00044632728282612,-0.023363197059030893,9,0.3333333333333333,1.0178340866805755,0.009721870714403705,-0.07080270944758923
lb20_atr10_m3.0_r0.005_tfma100_rfadx20,20,10,3.0,0.005,ma100,adx20,-0.06544952166866458,-0.08815640359032195,35,0.2,0.44384848228438334,-0.36895876968485275,-0.0030714477098664483,-0.02445358380039353,9,0.4444444444444444,0.867893120233341,-0.06753735717757553,-0.07151579726231747
lb30_atr10_m2.5_r0.005_tfma100_rfadx20,30,10,2.5,0.005,ma100,adx20,-0.05819900953097046,-0.0757642886508948,31,0.12903225806451613,0.4474165169067482,-0.3599043648972567,-0.0043379958381960515,-0.018186390221747506,8,0.375,0.7965757959938435,-0.10208889891159739,-0.0717608904209679
lb30_atr10_m3.0_r0.005_tfnone_rfadx20,30,10,3.0,0.005,none,adx20,-0.025882581940738336,-0.06710533368697535,30,0.3,0.6969602594520996,-0.16562180122080325,-0.012600562849794938,-0.025599475615539102,10,0.4,0.5139031442856395,-0.24788901492152862,-0.07206276031068785
