entry_time,exit_time,entry,exit,qty,pnl,r
2025-12-02T14:00:00+00:00,2025-12-03T14:00:00+00:00,133572753.0,136821126.64,0.0248227,77277.44,1.496
2025-12-06T14:00:00+00:00,2025-12-06T19:00:00+00:00,134767350.0,133740810.43,0.05646889,-65548.73,-1.2096
2025-12-07T17:00:00+00:00,2025-12-07T21:00:00+00:00,135865899.0,134396339.64,0.02832058,-45445.76,-0.8743
2025-12-09T15:00:00+00:00,2025-12-09T20:00:00+00:00,137559745.5,137326873.64,0.02908772,-10771.62,-0.2078
2025-12-11T21:00:00+00:00,2025-12-12T00:00:00+00:00,137888910.0,135731957.21,0.02464061,-56519.73,-1.098
2025-12-16T15:00:00+00:00,2025-12-17T05:00:00+00:00,130935435.0,128730031.36,0.02384642,-55687.04,-1.0907
2025-12-17T14:00:00+00:00,2025-12-17T15:00:00+00:00,133191562.5,131150820.36,0.0257871,-56033.13,-1.1001
2025-12-18T13:00:00+00:00,2025-12-18T14:00:00+00:00,132137035.5,130609662.5,0.0350547,-58146.85,-1.1345
2025-12-21T08:00:00+00:00,2025-12-21T13:00:00+00:00,131862898.5,131467090.71,0.07374525,-38898.61,-0.7881
2025-12-22T11:00:00+00:00,2025-12-22T15:00:00+00:00,134054994.0,132990614.29,0.0381162,-45659.49,-0.8952
2025-12-25T15:00:00+00:00,2025-12-25T20:00:00+00:00,130023979.5,129122406.5,0.06246481,-64410.35,-1.232
2025-12-29T02:00:00+00:00,2025-12-29T03:00:00+00:00,129156546.0,129314167.71,0.05969476,1694.52,0.0327
2025-12-29T03:00:00+00:00,2025-12-29T07:00:00+00:00,130414174.5,129314167.71,0.04938371,-60735.59,-1.1879
2025-12-30T14:00:00+00:00,2025-12-30T17:00:00+00:00,129160548.0,128019101.29,0.04700127,-59693.33,-1.1788
2026-01-01T22:00:00+00:00,2026-01-02T14:00:00+00:00,128744340.0,129204365.5,0.07345327,24316.79,0.5851
2026-01-02T16:00:00+00:00,2026-01-04T00:00:00+00:00,130762348.5,131133971.64,0.03254272,7832.22,0.1581
2026-01-04T00:00:00+00:00,2026-01-04T12:00:00+00:00,131977956.0,131717108.5,0.06662823,-26164.57,-0.5045
2026-01-05T00:00:00+00:00,2026-01-05T06:00:00+00:00,133987960.5,133946279.07,0.05360932,-9416.4,-0.1849
2026-01-05T10:00:00+00:00,2026-01-06T00:00:00+00:00,135505719.0,135450954.93,0.03960632,-7534.8,-0.1508
2026-01-11T14:00:00+00:00,2026-01-11T15:00:00+00:00,133965949.5,133492506.07,0.07050845,-42810.81,-1.4931
2026-01-12T00:00:00+00:00,2026-01-12T02:00:00+00:00,134267100.0,134495147.36,0.06313855,5913.95,0.1153
2026-01-12T02:00:00+00:00,2026-01-12T08:00:00+00:00,135663798.0,134554974.57,0.04553898,-56647.43,-1.1294
2026-01-13T06:00:00+00:00,2026-01-13T15:00:00+00:00,135987960.0,135997395.86,0.03730401,-4721.08,-0.0957
2026-01-13T15:00:00+00:00,2026-01-13T22:00:00+00:00,137410671.0,138530842.79,0.03663011,35978.13,0.7301
2026-01-13T22:00:00+00:00,2026-01-14T14:00:00+00:00,140372151.0,139753945.21,0.02758213,-20914.67,-0.4279
2026-01-14T14:00:00+00:00,2026-01-15T03:00:00+00:00,141304617.0,141119119.43,0.03321384,-10851.28,-0.2206
2026-01-18T18:00:00+00:00,2026-01-18T23:00:00+00:00,141068499.0,140686193.14,0.06629209,-34682.91,-1.1591
2026-01-21T15:00:00+00:00,2026-01-21T16:00:00+00:00,133869901.5,132033807.21,0.02736623,-53885.36,-1.1124
2026-01-23T16:00:00+00:00,2026-01-23T19:00:00+00:00,133686810.0,132259551.43,0.03536184,-55172.67,-1.1329
2026-01-27T01:00:00+00:00,2026-01-27T11:00:00+00:00,129965950.5,128321949.79,0.02854995,-50623.19,-1.0565
2026-01-28T11:00:00+00:00,2026-01-28T15:00:00+00:00,130498216.5,129407264.0,0.0412439,-50354.89,-1.0382
2026-01-30T21:00:00+00:00,2026-01-31T08:00:00+00:00,125259598.5,122913655.29,0.02011155,-49676.14,-1.0611
2026-02-02T12:00:00+00:00,2026-02-03T02:00:00+00:00,115699821.0,115011179.93,0.01409207,-11329.98,-0.2456
2026-02-06T14:00:00+00:00,2026-02-07T06:00:00+00:00,101044497.0,102284689.21,0.01058594,12052.39,0.2632
2026-02-08T08:00:00+00:00,2026-02-08T16:00:00+00:00,104898423.0,104652076.36,0.03332586,-11701.44,-0.2486
2026-02-13T14:00:00+00:00,2026-02-14T08:00:00+00:00,99487719.0,101694270.29,0.0314303,66190.96,1.4138
2026-02-14T08:00:00+00:00,2026-02-14T11:00:00+00:00,102833391.0,102868968.36,0.04396564,-2957.74,-0.0618
2026-02-14T11:00:00+00:00,2026-02-14T12:00:00+00:00,104112030.0,102868968.36,0.03998986,-53848.43,-1.13
2026-02-15T07:00:00+00:00,2026-02-15T12:00:00+00:00,104669308.5,103375714.86,0.03808267,-53224.96,-1.1254
2026-02-16T12:00:00+00:00,2026-02-16T13:00:00+00:00,103337643.0,101766805.43,0.03067246,-51326.98,-1.101
2026-02-20T05:00:00+00:00,2026-02-20T11:00:00+00:00,99773862.0,99484946.93,0.03561181,-13836.77,-0.2972
2026-02-21T14:00:00+00:00,2026-02-21T16:00:00+00:00,100604277.0,100208156.57,0.07326096,-36376.02,-0.7517
