entry_time,exit_time,entry,exit,qty,pnl,r
2025-12-02T14:00:00+00:00,2025-12-03T14:00:00+00:00,133572753.0,136821126.64,0.0248227,77277.44,1.496
2025-12-06T14:00:00+00:00,2025-12-06T19:00:00+00:00,134767350.0,133740810.43,0.05646889,-65548.73,-1.2096
2025-12-07T17:00:00+00:00,2025-12-07T21:00:00+00:00,135865899.0,134396339.64,0.02832058,-45445.76,-0.8743
2025-12-09T15:00:00+00:00,2025-12-09T20:00:00+00:00,137559745.5,137326873.64,0.02939163,-10884.17,-0.2099
2025-12-11T21:00:00+00:00,2025-12-12T00:00:00+00:00,137888910.0,135731957.21,0.02464033,-56519.09,-1.098
2025-12-16T15:00:00+00:00,2025-12-17T05:00:00+00:00,130935435.0,128730031.36,0.02384616,-55686.41,-1.0907
2025-12-17T14:00:00+00:00,2025-12-17T15:00:00+00:00,133191562.5,131181233.71,0.02620459,-56143.74,-1.1017
2025-12-18T13:00:00+00:00,2025-12-18T14:00:00+00:00,132137035.5,130609662.5,0.0350539,-58145.53,-1.1345
2025-12-21T08:00:00+00:00,2025-12-21T13:00:00+00:00,131862898.5,131467090.71,0.07374358,-38897.73,-0.7881
2025-12-22T11:00:00+00:00,2025-12-22T15:00:00+00:00,134054994.0,132990614.29,0.03811533,-45658.45,-0.8952
2025-12-25T15:00:00+00:00,2025-12-25T20:00:00+00:00,130023979.5,129073431.0,0.05873537,-63439.91,-1.2191
2025-12-29T02:00:00+00:00,2025-12-29T03:00:00+00:00,129156546.0,129314167.71,0.05969944,1694.65,0.0327
2025-12-29T03:00:00+00:00,2025-12-29T07:00:00+00:00,130414174.5,129314167.71,0.04938759,-60740.36,-1.1879
2025-12-30T14:00:00+00:00,2025-12-30T17:00:00+00:00,129160548.0,128019101.29,0.04700496,-59698.02,-1.1788
2026-01-01T22:00:00+00:00,2026-01-02T14:00:00+00:00,128744340.0,129204365.5,0.07345904,24318.7,0.5851
2026-01-02T17:00:00+00:00,2026-01-03T07:00:00+00:00,130730332.5,129313739.36,0.03266053,-50513.26,-1.0191
2026-01-04T00:00:00+00:00,2026-01-04T12:00:00+00:00,131977956.0,131717108.5,0.06622397,-26005.82,-0.5045
2026-01-05T00:00:00+00:00,2026-01-05T06:00:00+00:00,133987960.5,133946279.07,0.05328405,-9359.27,-0.1849
2026-01-05T10:00:00+00:00,2026-01-06T00:00:00+00:00,135505719.0,135450954.93,0.03936602,-7489.09,-0.1508
2026-01-11T14:00:00+00:00,2026-01-11T18:00:00+00:00,133965949.5,133473372.79,0.07008065,-43891.26,-1.4157
2026-01-12T01:00:00+00:00,2026-01-12T02:00:00+00:00,134632282.5,134471016.57,0.05082679,-15035.46,-0.2997
2026-01-12T02:00:00+00:00,2026-01-12T08:00:00+00:00,135663798.0,134521705.5,0.04412434,-56354.95,-1.1348
2026-01-13T06:00:00+00:00,2026-01-13T15:00:00+00:00,135987960.0,135997395.86,0.03698874,-4681.18,-0.0957
2026-01-13T15:00:00+00:00,2026-01-13T22:00:00+00:00,137410671.0,138530842.79,0.03632054,35674.07,0.7301
2026-01-13T22:00:00+00:00,2026-01-14T14:00:00+00:00,140372151.0,139753945.21,0.02734902,-20737.91,-0.4279
2026-01-14T14:00:00+00:00,2026-01-15T03:00:00+00:00,141304617.0,141119119.43,0.03293315,-10759.57,-0.2206
2026-01-18T18:00:00+00:00,2026-01-18T23:00:00+00:00,141068499.0,140686193.14,0.06573185,-34389.8,-1.1591
2026-01-21T15:00:00+00:00,2026-01-21T16:00:00+00:00,133869901.5,132033807.21,0.02713495,-53429.97,-1.1124
2026-01-23T16:00:00+00:00,2026-01-23T19:00:00+00:00,133686810.0,132259551.43,0.03506299,-54706.39,-1.1329
2026-01-27T01:00:00+00:00,2026-01-27T11:00:00+00:00,129965950.5,128321949.79,0.02830867,-50195.37,-1.0565
2026-01-28T11:00:00+00:00,2026-01-28T15:00:00+00:00,130498216.5,129414260.5,0.04318952,-52428.29,-1.0868
2026-01-30T21:00:00+00:00,2026-01-31T08:00:00+00:00,125259598.5,122913655.29,0.01993607,-49242.69,-1.0611
2026-02-02T12:00:00+00:00,2026-02-03T02:00:00+00:00,115699821.0,115011179.93,0.01396911,-11231.12,-0.2456
2026-02-06T14:00:00+00:00,2026-02-07T06:00:00+00:00,101044497.0,102284689.21,0.01049357,11947.22,0.2632
2026-02-08T08:00:00+00:00,2026-02-08T16:00:00+00:00,104898423.0,104652076.36,0.03303508,-11599.34,-0.2486
2026-02-13T14:00:00+00:00,2026-02-14T08:00:00+00:00,99487719.0,101758666.64,0.03105131,67391.41,1.4523
2026-02-14T08:00:00+00:00,2026-02-14T11:00:00+00:00,102833391.0,102910519.0,0.04647871,-1196.55,-0.0251
2026-02-14T11:00:00+00:00,2026-02-14T12:00:00+00:00,104112030.0,102910519.0,0.04115778,-53711.82,-1.1348
2026-02-15T07:00:00+00:00,2026-02-15T12:00:00+00:00,104669308.5,103375714.86,0.03776375,-52779.23,-1.1254
2026-02-16T12:00:00+00:00,2026-02-16T13:00:00+00:00,103337643.0,101766805.43,0.0304156,-50897.15,-1.101
2026-02-20T05:00:00+00:00,2026-02-20T11:00:00+00:00,99773862.0,99484946.93,0.03531358,-13720.9,-0.2972
2026-02-21T14:00:00+00:00,2026-02-21T16:00:00+00:00,100604277.0,100208156.57,0.07264744,-36071.39,-0.7517
