key,breakout_lookback,atr_period,atr_mult,risk_per_trade,trend_filter,regime_filter,is_return,is_mdd,is_trades,is_win_rate,is_pf,is_avg_r,oos_return,oos_mdd,oos_trades,oos_win_rate,oos_pf,oos_avg_r,rank_score
lb55_atr14_m3.0_r0.0025_tfnone_rfadx20,55,14,3.0,0.0025,none,adx20,0.0019978334679002785,-0.017608413902644116,19,0.2631578947368421,1.1010014692963455,0.04009422485143263,0.0028683110692233615,-0.006187720291088383,6,0.6666666666666666,1.6608435896801974,0.18276839884999693,0.07555768584057515
lb55_atr14_m3.0_r0.005_tfnone_rfadx20,55,14,3.0,0.005,none,adx20,0.0036881647123911954,-0.034944094546168536,19,0.2631578947368421,1.0923298200598341,0.04009422485143263,0.005714859310534948,-0.012312896571182286,6,0.6666666666666666,1.6554323948065224,0.18276839884999696,0.07366782469337958
lb55_atr14_m3.0_r0.0025_tfma100_rfadx20,55,14,3.0,0.0025,ma100,adx20,-0.001274553129116951,-0.017608413902644338,18,0.2222222222222222,0.9442859224017575,-0.025593568495210064,0.0028683110692233615,-0.006187720291088383,6,0.6666666666666666,1.6608435896801974,0.18276839884999693,0.06669191671169296
lb55_atr14_m3.0_r0.005_tfma100_rfadx20,55,14,3.0,0.005,ma100,adx20,-0.0028671223570998494,-0.03494409454616787,18,0.2222222222222222,0.9376805842428165,-0.025593568495210127,0.005714859310534948,-0.012312896571182286,6,0.6666666666666666,1.6554323948065224,0.18276839884999696,0.06334644661819877
lb55_atr10_m3.0_r0.0025_tfnone_rfadx20,55,10,3.0,0.0025,none,adx20,-0.0010502322328272973,-0.01809631695491576,20,0.3,0.9484469591535573,-0.019894102960962622,0.0017914878328531003,-0.006583684766834574,6,0.6666666666666666,1.3978826841933096,0.11371801613941562,0.050223320416684425
lb55_atr20_m3.0_r0.0025_tfnone_rfadx20,55,20,3.0,0.0025,none,adx20,-0.010716932579530991,-0.023395866425600875,22,0.18181818181818182,0.640902319901181,-0.18486329483098168,0.0029279600786824567,-0.006066537574906605,6,0.6666666666666666,1.7640070384120137,0.18636319031248907,0.04717112904949181
lb55_atr10_m3.0_r0.005_tfnone_rfadx20,55,10,3.0,0.005,none,adx20,-0.0024087091715760955,-0.035900574403443075,20,0.3,0.941279115832275,-0.01989410296096263,0.00355928653506421,-0.01311111160725753,6,0.6666666666666666,1.3938842599942447,0.11371801613941572,0.04624133643240458
lb55_atr10_m2.5_r0.0025_tfnone_rfadx20,55,10,2.5,0.0025,none,adx20,-0.009900193739295515,-0.02551524519247328,24,0.16666666666666666,0.7051591767593901,-0.15610574261292526,0.00288541440157708,-0.006676654394211168,6,0.5,1.5225202665696727,0.18485849111592637,0.04529739515053255
lb55_atr10_m3.0_r0.0025_tfma100_rfadx20,55,10,3.0,0.0025,ma100,adx20,-0.004330831323092976,-0.018096316954916092,19,0.2631578947368421,0.8137228974815885,-0.08600454456046124,0.0017914878328531003,-0.006583684766834574,6,0.6666666666666666,1.3978826841933096,0.11371801613941562,0.04154778453855302
lb55_atr20_m3.0_r0.0025_tfma100_rfadx20,55,20,3.0,0.0025,ma100,adx20,-0.01344024806811328,-0.023395866425600986,21,0.14285714285714285,0.5860308832802683,-0.2431655915481613,0.0029279600786824567,-0.006066537574906605,6,0.6666666666666666,1.7640070384120137,0.18636319031248907,0.04026803603235697
lb55_atr20_m3.0_r0.005_tfnone_rfadx20,55,20,3.0,0.005,none,adx20,-0.021625267939636483,-0.04629734983877687,22,0.18181818181818182,0.6376190714630979,-0.18486329483098166,0.005836571887129827,-0.012067479919734558,6,0.6666666666666666,1.7579376150315573,0.18636319031248916,0.03894283408007173
lb55_atr10_m2.5_r0.005_tfnone_rfadx20,55,10,2.5,0.005,none,adx20,-0.020170973378598522,-0.05042898910786242,24,0.16666666666666666,0.7000613425214394,-0.15610574261292523,0.00573692616501309,-0.01328905342302178,6,0.5,1.51787510259712,0.18485849111592642,0.0368926199301275
lb55_atr10_m3.0_r0.005_tfma100_rfadx20,55,10,3.0,0.005,ma100,adx20,-0.008959822715213672,-0.03590057440344285,19,0.2631578947368421,0.8078947965001531,-0.08600454456046124,0.00355928653506421,-0.01311111160725753,6,0.6666666666666666,1.3938842599942447,0.11371801613941572,0.0361081363448243
lb55_atr10_m2.5_r0.0025_tfma100_rfadx20,55,10,2.5,0.0025,ma100,adx20,-0.014048381327543824,-0.02551524519247339,23,0.08695652173913043,0.6170958676783593,-0.23090503348205488,0.00288541440157708,-0.006676654394211168,6,0.5,1.5225202665696727,0.18485849111592637,0.03596110803942113
