entry_time,exit_time,qty,entry,exit,buy_krw,sell_krw,pnl
2025-12-09T15:00:00+00:00,2025-12-09T21:00:00+00:00,0.00980277,137559745.5,136484423.65,1348466.55,1337925.41,-11884.33
2025-12-22T11:00:00+00:00,2025-12-22T19:00:00+00:00,0.01451845,134054994.0,132524004.85,1946270.73,1924043.14,-24162.75
2025-12-29T02:00:00+00:00,2025-12-29T03:00:00+00:00,0.02502877,129156546.0,129099717.85,3232629.48,3231207.15,-4654.26
2025-12-29T03:00:00+00:00,2025-12-29T09:00:00+00:00,0.0210165,130414174.5,129099717.85,2740849.5,2713224.22,-30352.31
2026-01-02T08:00:00+00:00,2026-01-02T14:00:00+00:00,0.02377621,129457696.5,128877079.23,3078013.38,3064208.5,-16875.99
2026-01-02T16:00:00+00:00,2026-01-05T00:00:00+00:00,0.01344958,130762348.5,132603515.08,1758698.67,1783461.58,22991.83
2026-01-05T00:00:00+00:00,2026-01-06T07:00:00+00:00,0.01985186,133987960.5,134724753.93,2659910.23,2674536.95,11959.5
2026-01-12T01:00:00+00:00,2026-01-12T08:00:00+00:00,0.02231274,134632282.5,134271930.45,3004015.12,2995974.67,-11040.44
2026-01-13T15:00:00+00:00,2026-01-15T15:00:00+00:00,0.01338179,137410671.0,140569430.12,1838800.74,1881070.59,40409.92
2026-01-28T11:00:00+00:00,2026-01-29T00:00:00+00:00,0.01170691,130498216.5,128742046.78,1527730.88,1507171.55,-22076.76
2026-02-14T07:00:00+00:00,2026-02-14T13:00:00+00:00,0.01238284,101750850.0,102242453.2,1259964.5,1266051.94,4824.43
2026-02-15T07:00:00+00:00,2026-02-15T12:00:00+00:00,0.01116095,104669308.5,102335006.9,1168208.92,1142155.9,-27208.21
2026-02-21T15:00:00+00:00,2026-02-22T00:00:00+00:00,0.02387254,100959454.5,99818965.55,2410158.62,2382932.25,-29622.91
