key,breakout_lookback,atr_period,atr_mult,risk_per_trade,trend_filter,regime_filter,is_return,is_mdd,is_trades,is_win_rate,is_pf,is_avg_r,oos_return,oos_mdd,oos_trades,oos_win_rate,oos_pf,oos_avg_r,rank_score
lb55_atr14_m3.0_r0.0025_tfnone_rfadx20,55,14,3.0,0.0025,none,adx20,0.0017166810036484126,-0.017752032918947114,19,0.2631578947368421,1.0855741989206105,0.034399959804549775,0.0014531737252632126,-0.007598780695648677,6,0.6666666666666666,1.252408368402348,0.09229489648441329,0.050886492389465715
lb55_atr14_m3.0_r0.005_tfnone_rfadx20,55,14,3.0,0.005,none,adx20,0.0031243216774183846,-0.035226696065009944,19,0.2631578947368421,1.0771309691582482,0.03439995980454987,0.002872124071860771,-0.015121929656399358,6,0.6666666666666666,1.2486432349913696,0.0922948964844132,0.04773806973359353
lb55_atr14_m3.0_r0.0025_tfma100_rfadx20,55,14,3.0,0.0025,ma100,adx20,-0.0015547873882331142,-0.017752032918946448,18,0.2222222222222222,0.9328566954949712,-0.031604181600253134,0.0014531737252632126,-0.007598780695648677,6,0.6666666666666666,1.252408368402348,0.09229489648441329,0.0420881369099067
lb55_atr14_m3.0_r0.005_tfma100_rfadx20,55,14,3.0,0.005,ma100,adx20,-0.0034272828210448747,-0.0352266960650095,18,0.2222222222222222,0.9263969117875955,-0.03160418160025312,0.002872124071860771,-0.015121929656399358,6,0.6666666666666666,1.2486432349913696,0.0922948964844132,0.03748221725508453
lb55_atr10_m3.0_r0.0025_tfnone_rfadx20,55,10,3.0,0.0025,none,adx20,-0.003982028859036091,-0.02086500965544913,21,0.2857142857142857,0.829076200902442,-0.07333178991080876,0.000652753567331299,-0.007719313358184432,6,0.6666666666666666,1.115614369441607,0.04036204734453364,0.02424106004045307
lb55_atr10_m2.5_r0.0025_tfnone_rfadx20,55,10,2.5,0.0025,none,adx20,-0.009481789880553038,-0.025096799749173115,24,0.16666666666666666,0.7140635770568172,-0.14936623041655814,0.0013951664125262386,-0.008000348529170753,6,0.5,1.1992405723584616,0.08991913007662246,0.023332065694260825
lb55_atr10_m3.0_r0.005_tfnone_rfadx20,55,10,3.0,0.005,none,adx20,-0.008262938805203457,-0.04133671336455946,21,0.2857142857142857,0.8236201212013983,-0.07333178991080883,0.0012737912442228883,-0.015360900611529282,6,0.6666666666666666,1.1125178371516482,0.04036204734453367,0.017685698865307863
lb55_atr10_m3.0_r0.0025_tfma100_rfadx20,55,10,3.0,0.0025,ma100,adx20,-0.007252999788151637,-0.020865009655448796,20,0.25,0.7227978343848789,-0.13880859377782487,0.000652753567331299,-0.007719313358184432,6,0.6666666666666666,1.115614369441607,0.04036204734453364,0.0159239799355528
lb55_atr10_m2.5_r0.005_tfnone_rfadx20,55,10,2.5,0.005,none,adx20,-0.01934063834202704,-0.04961133280878982,24,0.16666666666666666,0.7088268790030913,-0.14936623041655817,0.00274378209974957,-0.015909099410558736,6,0.5,1.1955493757480626,0.08991913007662238,0.014022048993596227
lb55_atr10_m2.5_r0.0025_tfma100_rfadx20,55,10,2.5,0.0025,ma100,adx20,-0.01363173044126087,-0.02509679974917245,23,0.08695652173913043,0.6241924284630567,-0.22387249901628054,0.0013951664125262386,-0.008000348529170753,6,0.5,1.1992405723584616,0.08991913007662246,0.0140016468792322
lb55_atr20_m3.0_r0.0025_tfnone_rfadx20,55,20,3.0,0.0025,none,adx20,-0.010887761501572335,-0.02341081081332297,22,0.18181818181818182,0.6372521727811947,-0.1879153548610363,0.0009802682154784748,-0.007994051913519096,6,0.6666666666666666,1.1697000191082498,0.0636487200023411,0.013684309468278599
lb55_atr10_m3.0_r0.005_tfma100_rfadx20,55,10,3.0,0.005,ma100,adx20,-0.01477560802460498,-0.04133671336456024,20,0.25,0.7181823912234242,-0.13880859377782487,0.0012737912442228883,-0.015360900611529282,6,0.6666666666666666,1.1125178371516482,0.04036204734453367,0.007918681213444438
lb55_atr20_m3.0_r0.0025_tfma100_rfadx20,55,20,3.0,0.0025,ma100,adx20,-0.013610606729352437,-0.02341081081332308,21,0.14285714285714285,0.5829693290473205,-0.2463629877701234,0.0009802682154784748,-0.007994051913519096,6,0.6666666666666666,1.1697000191082498,0.0636487200023411,0.006774891377026734
lb55_atr20_m3.0_r0.005_tfnone_rfadx20,55,20,3.0,0.005,none,adx20,-0.021963463206960077,-0.04632660450848103,22,0.18181818181818182,0.6340209240804311,-0.1879153548610363,0.001925616612833858,-0.015903389186129102,6,0.6666666666666666,1.1661925414402061,0.06364872000234122,0.0038532225853139977
lb55_atr10_m2.5_r0.005_tfma100_rfadx20,55,10,2.5,0.005,ma100,adx20,-0.02755039906862411,-0.04961133280878971,23,0.08695652173913043,0.6193135353746047,-0.2238724990162805,0.00274378209974957,-0.015909099410558736,6,0.5,1.1955493757480626,0.08991913007662238,0.002868468056052752
lb55_atr20_m3.0_r0.005_tfma100_rfadx20,55,20,3.0,0.005,ma100,adx20,-0.027349874488609704,-0.04632660450848114,21,0.14285714285714285,0.5798412977966794,-0.2463629877701234,0.001925616612833858,-0.015903389186129102,6,0.6666666666666666,1.1661925414402061,0.06364872000234122,-0.004253716446952868
lb55_atr14_m3.0_r0.0025_tfnone_rfnone,55,14,3.0,0.0025,none,none,0.0011333538026097045,-0.015295859030292847,20,0.25,1.053770616596619,0.022606858823558347,-0.004331962169341952,-0.010667061085203211,8,0.5,0.6246046199083589,-0.20712584329722522,-0.016315957149008124
lb55_atr14_m3.0_r0.0025_tfma100_rfnone,55,14,3.0,0.0025,ma100,none,-0.0021362095231635125,-0.015295859030293735,19,0.21052631578947367,0.9116164695250272,-0.04054406992735977,-0.004331962169341952,-0.010667061085203211,8,0.5,0.6246046199083589,-0.20712584329722522,-0.024151672790408602
